store,title,brand,series,model,cpu,ram_gb,storage_gb,price_ils,deal_price_ils,deal_label,storage_type,ram_type,upgradability_score,warranty_months,stock_status,url,gpu,is_touch,is_2in1,image_url,screen_size_in,weight_kg,battery_wh,ram_gen,ram_source,screen_source,weight_source,battery_source,confidence_level
LaptopTech LTS,Macbook Pro A1989 13 3 I7 16G 500G 3,Apple,MacBook,Macbook Pro A1989 13 3 I7 16G 500G 3,Core i7 (8th Gen),16,500,3500,3500,"3,500 ₪",🔒 Soldered BGA NVMe / Unified,Soldered (Non-upgradeable),1.0,12,🟢 In Stock,https://lts.co.il/פריט/macbook-pro-a1989-13-3-i7-16g-500g-3/,Integrated,False,False,,13.3,1.4,49,LPDDR4,chassis_decoder,listing_explicit,chassis_decoder,chassis_decoder,verified
LaptopTech LTS,Macbook Pro A2179 13 3 I5 8G 250G,Apple,MacBook,Macbook Pro A2179 13 3 I5 8G 250G,Core i5 (10th Gen),8,250,2700,2700,"2,700 ₪",🔒 Soldered BGA NVMe / Unified,Soldered (Non-upgradeable),1.0,12,🟢 In Stock,https://lts.co.il/פריט/macbook-pro-a2179-13-3-i5-8g-250g/,Integrated,False,False,,13.3,1.4,49,LPDDR4x,chassis_decoder,listing_explicit,chassis_decoder,chassis_decoder,verified
LaptopTech LTS,Macbook Pro A2251 13 3 I7 32G 1TB,Apple,MacBook,Macbook Pro A2251 13 3 I7 32G 1TB,Core i7 (10th Gen),32,1000,4700,4700,"4,700 ₪",🔒 Soldered BGA NVMe / Unified,Soldered (Non-upgradeable),1.0,12,🟢 In Stock,https://lts.co.il/פריט/macbook-pro-a2251-13-3-i7-32g-1tb/,Integrated,False,False,,13.3,1.4,49,LPDDR4x,chassis_decoder,listing_explicit,chassis_decoder,chassis_decoder,verified
LaptopTech LTS,Toshiba Protege X30L J 130 13 3 I5 16G 250G,Toshiba,Business Series,Toshiba Protege X30L J 130 13 3 I5 16G 250G,Core i5 (11th Gen),16,250,2100,2100,"2,100 ₪",⚡ M.2 2280 PCIe NVMe (Swappable),Modular / Semi-Modular,7.5,12,🟢 In Stock,https://lts.co.il/פריט/toshiba-protege-x30l-j-130-13-3-i5-16g-250g/,Integrated,False,False,,13.3,0.9,50,DDR4,chassis_decoder,listing_explicit,chassis_decoder,fallback_estimate,verified
Ecology Computers,"HP ZBook G7 14"" i5 16GB 240GB",HP,ZBook,"HP ZBook G7 14"" i5 16GB 240GB",Core i5 (10th Gen),16,240,1849,1849,"1,849 ₪ (24M Warranty)",⚡ M.2 2280 PCIe NVMe (Swappable),Modular / Semi-Modular,7.5,24,🟢 In Stock (24M Warranty),https://www.ecommunity.org.il/hp_zbook_i5,Intel Iris Xe,False,False,,14.0,2.25,54,DDR4,chassis_decoder,listing_explicit,chassis_decoder,fallback_estimate,verified
Ecology Computers,HP EliteBook x360 830 G8 Touch i7 16GB 512GB,HP,EliteBook,HP EliteBook x360 830 G8 Touch i7 16GB 512GB,Core i7 (11th Gen),16,512,2199,2199,"2,199 ₪ (24M Warranty)",⚡ M.2 2280 PCIe NVMe (Swappable),Soldered (Fixed),5.0,24,🟢 In Stock (24M Warranty),https://www.ecommunity.org.il/lti71030g8_touch,Intel Iris Xe,True,True,,13.3,1.35,51,LPDDR4x,chassis_decoder,chassis_decoder,chassis_decoder,chassis_decoder,verified
Ecology Computers,Dell Latitude 5480 i5 8GB 256GB,Dell,Latitude,Dell Latitude 5480 i5 8GB 256GB,Core i5 (7th Gen),8,256,1049,1049,"1,049 ₪ (24M Warranty)","🐢 2.5"" SATA SSD / Bay",2x SODIMM Slots,8.0,24,🟢 In Stock (24M Warranty),https://www.ecommunity.org.il/page_19398,Intel HD,False,False,,14.0,1.55,45,DDR4,chassis_decoder,chassis_decoder,chassis_decoder,chassis_decoder,verified
Ecology Computers,Lenovo ThinkPad E14 i5 16GB 512GB Dual SSD,Lenovo,ThinkPad,Lenovo ThinkPad E14 i5 16GB 512GB Dual SSD,Core i5,16,512,1850,1850,"1,850 ₪ (24M Warranty)",⚡ Dual M.2 NVMe Slots (2242 + 2280),1x Soldered + 1x SODIMM Slot,8.5,24,🟢 In Stock (24M Warranty),https://www.ecommunity.org.il/page_20368,Intel Iris Xe,False,False,,14.0,1.55,50,DDR4,chassis_decoder,chassis_decoder,chassis_decoder,fallback_estimate,verified
Ecology Computers,Lenovo ThinkPad X280 i5 8GB 240GB,Lenovo,ThinkPad,Lenovo ThinkPad X280 i5 8GB 240GB,Core i5 (8th Gen),8,240,999,999,999 ₪ (24M Warranty),⚡ M.2 2280 PCIe NVMe (Swappable),Soldered (Fixed),5.0,24,🟢 In Stock (24M Warranty),https://www.ecommunity.org.il/page_21809,Intel HD,False,False,,12.5,1.28,45,LPDDR4,chassis_decoder,chassis_decoder,chassis_decoder,chassis_decoder,verified
Ecology Computers,Dell Latitude 5410 i5 8GB 240GB,Dell,Latitude,Dell Latitude 5410 i5 8GB 240GB,Core i5 (10th Gen),8,240,1399,1399,"1,399 ₪ (24M Warranty)",⚡ M.2 2280 PCIe NVMe (Swappable),2x SODIMM Slots (up to 64GB),9.0,24,🟢 In Stock (24M Warranty),https://www.ecommunity.org.il/page_22509,Intel UHD,False,False,,14.0,1.55,45,DDR4,chassis_decoder,chassis_decoder,chassis_decoder,chassis_decoder,verified
Ecology Computers,HP ZBook Fury 15 G7 i7 16GB 512GB (45W GPU),HP,ZBook Fury,HP ZBook Fury 15 G7 i7 16GB 512GB (45W GPU),Core i7 (10th Gen),16,512,3499,3499,"3,499 ₪ (24M Warranty)",⚡ Quad/Dual M.2 NVMe Slots,4x SODIMM Slots (up to 128GB),10.0,24,🟢 In Stock (24M Warranty),https://www.ecommunity.org.il/page_25916,Quadro T2000 45W,False,False,,15.6,2.45,90,DDR4,chassis_decoder,chassis_decoder,chassis_decoder,chassis_decoder,verified
Ecology Computers,HP ZBook 15 G6 i7 16GB 512GB Quadro GPU,HP,ZBook,HP ZBook 15 G6 i7 16GB 512GB Quadro GPU,Core i7 (9th Gen),16,512,2799,2799,"2,799 ₪ (24M Warranty)",⚡ M.2 2280 PCIe NVMe (Swappable),Modular / Semi-Modular,7.5,24,🟢 In Stock (24M Warranty),https://www.ecommunity.org.il/page_26486,Quadro T1000,False,False,,15.6,2.25,68,DDR4,chassis_decoder,chassis_decoder,chassis_decoder,chassis_decoder,verified
Ecology Computers,HP EliteBook 850 G7 i5 8GB 256GB,HP,EliteBook,HP EliteBook 850 G7 i5 8GB 256GB,Core i5 (10th Gen),8,256,1849,1849,"1,849 ₪ (24M Warranty)",⚡ M.2 2280 PCIe NVMe (Swappable),2x SODIMM Slots (up to 64GB),9.0,24,🟢 In Stock (24M Warranty),https://www.ecommunity.org.il/page_27023,Intel UHD,False,False,,15.6,1.75,54,DDR4,chassis_decoder,chassis_decoder,chassis_decoder,fallback_estimate,verified
Ecology Computers,Lenovo ThinkPad T14 Touch i5 16GB 256GB,Lenovo,ThinkPad,Lenovo ThinkPad T14 Touch i5 16GB 256GB,Core i5,16,256,1849,1849,"1,849 ₪ (24M Warranty)",⚡ M.2 2280 PCIe NVMe (Swappable),1x Soldered + 1x SODIMM Slot (max 48GB),7.5,24,🟢 In Stock (24M Warranty),https://www.ecommunity.org.il/thinkpad_t14,Intel UHD,True,False,,14.0,1.55,51,DDR4,chassis_decoder,chassis_decoder,chassis_decoder,chassis_decoder,verified
Ecology Computers,HP/Dell/Lenovo G-4 i5 8GB 240GB,Lenovo,Business Series,HP,Core i5 (4th Gen),8,240,849,849,849 ₪ (24M Warranty),"🐢 2.5"" SATA SSD / Bay",2x SODIMM Slots,8.0,24,🟢 In Stock (24M Warranty),https://www.ecommunity.org.il/%D7%9E%D7%97%D7%A9%D7%91-%D7%A0%D7%99%D7%99%D7%93-i5-%D7%9E%D7%97%D7%95%D7%93%D7%A9,Intel HD,False,False,,14.0,1.5,50,DDR3L,chassis_decoder,fallback_estimate,fallback_estimate,fallback_estimate,estimated
Ecology Computers,Lenovo ThinkPad E480 i7 16GB 240GB,Lenovo,ThinkPad,Lenovo ThinkPad E480 i7 16GB 240GB,Core i7 (8th Gen),16,240,1349,1349,"1,349 ₪ (24M Warranty)",⚡ M.2 2280 PCIe NVMe (Swappable),2x SODIMM Slots (up to 64GB),9.0,24,🟢 In Stock (24M Warranty),https://www.ecommunity.org.il/%D7%9E%D7%97%D7%A9%D7%91-%D7%A0%D7%99%D7%99%D7%93-%D7%9C%D7%A0%D7%95%D7%91%D7%95-lenovo-i7-thinkpad-e480-14-%D7%9E%D7%97%D7%95%D7%93%D7%A9,Intel UHD,False,False,,14.0,1.55,45,DDR4,chassis_decoder,chassis_decoder,chassis_decoder,chassis_decoder,verified
